sequence_id,x_H2,x_CH4,x_CO2,x_N2
Q000001,13.215804,72.049908,12.469228,2.265060
Q000002,28.723110,62.145913,7.593938,1.537039
Q000003,15.235633,67.084110,7.562505,10.117752
Q000004,28.723110,52.036708,11.212578,8.027604
Q000005,24.938288,54.748514,1.419813,18.893385
Q000006,1.220638,73.092722,11.195868,14.490772
Q000007,8.386571,71.975491,8.052476,11.585462
Q000008,11.047162,65.857644,8.260110,14.835083
Q000009,2.101327,90.363650,6.228722,1.306301
Q000010,2.101327,80.833905,6.228722,10.836046
Q000011,26.391739,53.368737,9.318417,10.921107
Q000012,11.209154,74.522312,6.722308,7.546227
Q000013,2.537385,83.479588,5.645115,8.337911
Q000014,2.582105,81.003504,11.096516,5.317875
Q000015,12.488522,73.759856,2.594018,11.157604
Q000016,14.716011,69.637681,2.594018,13.052290
