model,component,RMSE_pp,MAE_pp,MRE_pct,R2,MaxRE_pct
acoustic,H2,4.177510026682796,2.3601429067542914,214.75116203701262,0.7123944659641452,171148.54295218977
acoustic,CH4,8.302078389327376,6.741124694140044,9.294383314995375,0.3411802582496013,85.67705120882607
acoustic,CO2,2.998484601534376,2.3796671028814,294.74841150500026,0.26047657968949633,65775.64578349209
acoustic,N2,5.812512410603259,5.014423331966158,644.0964670249939,0.0005609510754177593,544966.2546139532
optical,H2,5.779169655532806,4.50025038701418,433.56005271145887,0.4495813707481431,178060.50809866827
optical,CH4,5.439567372083229,3.341863733690808,4.612124246043807,0.717172480107945,86.29701414880347
optical,CO2,1.7654490246609045,0.8536369859646755,113.84529484175636,0.743635048382649,69477.23326249415
optical,N2,5.033155037426511,4.168025899718721,366.717359542927,0.25060784242040857,485008.36798635026
thermal,H2,5.404355004964505,3.174888081159808,217.1574587691825,0.5186621923703089,55902.37158216721
thermal,CH4,8.468660264763336,6.713467378765285,9.279424073100584,0.3144764695174158,93.92927954643633
thermal,CO2,3.4942552688227315,2.8619122298503785,405.5977068105406,-0.004286313235404293,74865.12236195561
thermal,N2,5.819894391960353,5.0401003958117325,639.6737738270715,-0.0019792672987961613,492969.4864058788
fixed_average,H2,4.54972080021936,2.8022044410969724,273.3673307895883,0.6588607193739774,135037.14087767506
fixed_average,CH4,6.7827458399936145,5.186540792838518,7.1731704899276245,0.5602518385568932,88.63444830135528
fixed_average,CO2,2.455756171727718,1.9238910487338077,267.91765108116755,0.5039576286639189,70039.33380264729
fixed_average,N2,5.302531070902556,4.562451593194025,547.5055365103051,0.16824585978881057,480783.5183697895
dynamic_average,H2,4.861945101699236,2.933826071422848,256.1963691879818,0.6104328412002467,174450.80811931725
dynamic_average,CH4,8.229163834101383,6.513220101984728,8.977386745253805,0.35270185484914074,93.73704342285228
dynamic_average,CO2,3.2422341916225808,2.5949713456366252,325.590474064008,0.13535656279384078,74716.66360680101
dynamic_average,N2,5.788857943156851,5.010415015781817,640.1456217472788,0.008678987456522513,489118.9543181306
dynamic_pls,H2,4.040702115520165,2.2268499002361266,239.56526685603015,0.7309234154046169,220092.7542813347
dynamic_pls,CH4,5.424082247854542,3.3253888899017845,4.581132134211027,0.7187804702757861,86.11917923453677
dynamic_pls,CO2,1.761383632840809,0.8869605605717945,130.92103778803886,0.7448143789335593,73261.01513159432
dynamic_pls,N2,4.709972239130684,3.8668918035389086,335.9765399676597,0.34375618680808406,436729.86645650433
