sample_id,stage_id,status,sequence_id,mixture_id,source_timestep,source_phase_id,pressure_stage,distance_stage,L_m,piston_position_m,V_NDIR_CH4,V_NDIR_CO2,V_TCS,T_C,P_MPa,H_RH,x_H2,x_CH4,x_CO2,x_N2,TOF,Amp,f_peak,A_fft_max,sound_speed,attenuation_alpha,c_sound,c_T_norm,delta_Amp,tau_s,tau_ms,t_round_s,t_round_ms,reflection_count,fiber_direct_index,fiber_direct_amp,fiber_tail_energy,fiber_alpha_est,T_K,P_kPa,p_ws_kPa,p_H2O_kPa,x_H2O,P_dry_kPa,AH_g_m3,delta_I_CH4,delta_I_CO2,A_NDIR_CH4,A_NDIR_CO2,ndir_ch4_saturated,ndir_co2_saturated,optical_baseline_drift_ch4,optical_baseline_drift_co2,lambda_mix_calibrated,thermal_baseline_drift,calibration_status
W00001,baseline_stage,calibration_control,Q000001,MD00001,0,baseline,low,short,0.20000000298023224,0.20000000298023224,2.3787245750427246,2.3818044662475586,1.1575238704681396,29.141199111938477,0.1712000072002411,49.0806999206543,26.31600570678711,63.64939880371094,2.7616169452667236,7.272980213165283,0.00066,0.9482230544090271,40200.0,9.757546424865723,303.0303075458064,0.2658275707505617,303.0303075458064,300.54558807864333,-0.0517769455909729,0.006716124857021836,6.7161248570218355,0.0,0.0,0.0,75.0,0.9479705095291138,18.926748275756836,744.4769166652106,302.29119911193845,171.2000072002411,4.038627651775274,1.9821867186803892,0.011578192963286264,169.2178204815607,1.420947295852241,-0.12127542495727539,-0.1181955337524414,0.12127542495727539,0.1181955337524414,False,False,0.0,0.0,1.1575238704681396,0.0,pending
W00002,distance_stage,synthetic_measurement,Q000001,MD00001,70,steady,mid,mid,0.20000000298023224,0.20000000298023224,1.4296281337738037,2.065998077392578,1.6172714233398438,29.141199111938477,0.1712000072002411,49.0806999206543,26.31600570678711,63.64939880371094,2.7616169452667236,7.272980213165283,0.000395,0.8163071274757385,40000.0,8.417536735534668,506.3291214689424,1.0148230504849283,506.3291214689424,503.8444020017793,-0.18369287252426147,0.0023496897103486986,2.3496897103486987,0.0,0.0,0.0,49.0,0.8794734477996826,13.174359321594238,2127.940512090928,302.29119911193845,171.2000072002411,4.038627651775274,1.9821867186803892,0.011578192963286264,169.2178204815607,1.420947295852241,-1.0703718662261963,-0.4340019226074219,1.0703718662261963,0.4340019226074219,False,False,0.0,0.0,1.6172714233398438,0.0,pending
W00003,pressure_stage,synthetic_measurement,Q000001,MD00001,85,steady,high,long,0.20000000298023224,0.20000000298023224,1.4296281337738037,2.065998077392578,1.6172714233398438,29.141199111938477,0.1712000072002411,49.0806999206543,26.31600570678711,63.64939880371094,2.7616169452667236,7.272980213165283,0.000395,0.8150638341903687,40200.0,8.392836570739746,506.3291214689424,1.0224442080068425,506.3291214689424,503.8444020017793,-0.18493616580963135,0.0019664776891307554,1.9664776891307554,0.0,0.0,0.0,49.0,0.8814112544059753,13.185015678405762,2542.6171642477934,302.29119911193845,171.2000072002411,4.038627651775274,1.9821867186803892,0.011578192963286264,169.2178204815607,1.420947295852241,-1.0703718662261963,-0.4340019226074219,1.0703718662261963,0.4340019226074219,False,False,0.0,0.0,1.6172714233398438,0.0,pending
W00004,purge_stage,synthetic_measurement,Q000001,MD00001,100,recovery,mid,mid,0.20000000298023224,0.20000000298023224,1.461264729499817,2.0765249729156494,1.601946473121643,29.141199111938477,0.1712000072002411,49.0806999206543,26.31600570678711,63.64939880371094,2.7616169452667236,7.272980213165283,0.0004,0.8157047629356384,40000.0,8.426226615905762,500.0000074505806,1.0185139828979615,500.0000074505806,497.5152879834175,-0.18429523706436157,0.0023340654442475673,2.3340654442475675,0.0,0.0,0.0,50.0,0.8809937834739685,13.199392318725586,2142.1849750687024,302.29119911193845,171.2000072002411,4.038627651775274,1.9821867186803892,0.011578192963286264,169.2178204815607,1.420947295852241,-1.038735270500183,-0.4234750270843506,1.038735270500183,0.4234750270843506,False,False,0.0,0.0,1.601946473121643,0.0,pending
W00005,baseline_stage,calibration_control,Q000002,MD00001,0,baseline,low,short,0.6000000238418579,0.6000000238418579,2.386709690093994,2.395164728164673,1.15028715133667,29.141199111938477,0.1712000072002411,49.0806999206543,22.714807510375977,72.59333038330078,2.7616169452667236,1.9302480220794678,0.001785,0.9474864602088928,40200.0,9.723349571228027,336.13446713829575,0.08990438333528505,336.13446713829575,333.6497476711327,-0.05251353979110718,0.022339046904327423,22.33904690432742,0.003375,3.375,2.0,188.0,0.9483304619789124,15.955233573913574,74.60777568430758,302.29119911193845,171.2000072002411,4.038627651775274,1.9821867186803892,0.011578192963286264,169.2178204815607,1.420947295852241,-0.11329030990600586,-0.10483527183532715,0.11329030990600586,0.10483527183532715,False,False,0.0,0.0,1.15028715133667,0.0,pending
W00006,distance_stage,synthetic_measurement,Q000002,MD00001,70,steady,mid,mid,0.6000000238418579,0.6000000238418579,1.33440101146698,2.049926996231079,1.5473718643188477,29.141199111938477,0.1712000072002411,49.0806999206543,22.714807510375977,72.59333038330078,2.7616169452667236,1.9302480220794678,0.001035,0.585193395614624,40000.0,6.032410144805908,579.7101679631478,0.8930214571630948,579.7101679631478,577.2254484959847,-0.414806604385376,0.015864432485967115,15.864432485967114,0.001885,1.885,1.0,113.0,0.7436705827713013,8.019418716430664,105.0568056508505,302.29119911193845,171.2000072002411,4.038627651775274,1.9821867186803892,0.011578192963286264,169.2178204815607,1.420947295852241,-1.16559898853302,-0.4500730037689209,1.16559898853302,0.4500730037689209,False,False,0.0,0.0,1.5473718643188477,0.0,pending
W00007,pressure_stage,synthetic_measurement,Q000002,MD00001,85,steady,high,long,0.6000000238418579,0.6000000238418579,1.33440101146698,2.049926996231079,1.5473718643188477,29.141199111938477,0.1712000072002411,49.0806999206543,22.714807510375977,72.59333038330078,2.7616169452667236,1.9302480220794678,0.001035,0.5833795666694641,40000.0,6.014584541320801,579.7101679631478,0.8981953755184492,579.7101679631478,577.2254484959847,-0.4166204333305359,999999999.9999999,999999999999.9999,0.001885,1.885,1.0,113.0,0.7449231743812561,8.053886413574219,1.6666666004392866e-09,302.29119911193845,171.2000072002411,4.038627651775274,1.9821867186803892,0.011578192963286264,169.2178204815607,1.420947295852241,-1.16559898853302,-0.4500730037689209,1.16559898853302,0.4500730037689209,False,False,0.0,0.0,1.5473718643188477,0.0,pending
W00008,purge_stage,synthetic_measurement,Q000002,MD00001,100,recovery,mid,mid,0.6000000238418579,0.6000000238418579,1.3694779872894287,2.0614349842071533,1.5341356992721558,29.141199111938477,0.1712000072002411,49.0806999206543,22.714807510375977,72.59333038330078,2.7616169452667236,1.9302480220794678,0.00105,0.5847777128219604,40200.0,6.0177083015441895,571.4285941351028,0.8942057678713947,571.4285941351028,568.9438746679397,-0.41522228717803955,0.01136642535816015,11.36642535816015,0.00191,1.91,1.0,115.0,0.7443905472755432,8.037700653076172,146.6306730499715,302.29119911193845,171.2000072002411,4.038627651775274,1.9821867186803892,0.011578192963286264,169.2178204815607,1.420947295852241,-1.1305220127105713,-0.4385650157928467,1.1305220127105713,0.4385650157928467,False,False,0.0,0.0,1.5341356992721558,0.0,pending
W00009,baseline_stage,calibration_control,Q000003,MD00001,0,baseline,low,short,1.0,1.0,2.3940649032592773,2.3834750652313232,1.14509117603302,29.141199111938477,0.1712000072002411,49.0806999206543,18.291990280151367,72.01055145263672,2.7616169452667236,6.935842037200928,0.00291,0.9419991970062256,39800.0,9.683741569519043,343.6426116838488,0.059750856841142,343.6426116838488,341.15789221668575,-0.058000802993774414,0.004467799322576573,4.467799322576573,0.00563,5.63,1.0,300.0,0.9459860324859619,12.884256362915039,223.8238398369472,302.29119911193845,171.2000072002411,4.038627651775274,1.9821867186803892,0.011578192963286264,169.2178204815607,1.420947295852241,-0.10593509674072266,-0.11652493476867676,0.10593509674072266,0.11652493476867676,False,False,0.0,0.0,1.14509117603302,0.0,pending
W00010,distance_stage,synthetic_measurement,Q000003,MD00001,70,steady,mid,mid,1.0,1.0,1.33022141456604,2.0705647468566895,1.4615864753723145,29.141199111938477,0.1712000072002411,49.0806999206543,18.291990280151367,72.01055145263672,2.7616169452667236,6.935842037200928,0.001775,0.39800888299942017,39800.0,4.1195387840271,563.3802816901408,0.9212809548527461,563.3802816901408,560.8955622229777,-0.6019911170005798,0.015407594994954796,15.407594994954795,0.003375,3.375,1.0,187.0,0.6152500510215759,5.850912094116211,64.9030559491893,302.29119911193845,171.2000072002411,4.038627651775274,1.9821867186803892,0.011578192963286264,169.2178204815607,1.420947295852241,-1.16977858543396,-0.42943525314331055,1.16977858543396,0.42943525314331055,False,False,0.0,0.0,1.4615864753723145,0.0,pending
