model,component,RMSE_pp,MAE_pp,MRE_pct,R2,MaxRE_pct
acoustic,H2,13.90949856202775,11.109259861526631,630.8617099361963,,1222.01722561586
acoustic,CH4,6.977436776711171,6.03972610120168,7.426252156271035,-6.059760054037316,12.251938857094586
acoustic,CO2,4.875527384978795,4.445510419936978,432.7596602779507,,749.3458858703627
acoustic,N2,9.79344199286723,9.418263233471833,57.75270029949417,-12.908158130989303,87.55658153903163
optical,H2,12.538609544212227,12.479885676462114,708.6954590851759,,833.0924051079332
optical,CH4,6.030146014444135,5.52907262630643,6.82958827893389,-4.272951505481875,11.877766184718094
optical,CO2,1.7966941966662295,1.796314645181024,174.8668751544323,,181.16535300145998
optical,N2,8.152769965184907,7.586771467470659,42.82111860609025,-8.638496332982749,56.08283693122888
thermal,H2,1.405622929916937,1.4051951038872335,79.79683589024003,,83.29805772173002
thermal,CH4,3.3757584533787295,2.6381239533234595,3.2135615656762555,-0.652497641526756,5.878714963477497
thermal,CO2,2.8595612414014226,2.811332582134281,273.6764101859901,,385.9168849937385
thermal,N2,3.7237340423844194,2.657175849252049,13.458932276006367,-1.010741397771536,26.709699333580783
fixed_average,H2,7.813397310892582,7.264563370439673,412.53287140099764,,627.8051685293599
fixed_average,CH4,5.314082678239939,4.558121337895079,5.593791311762527,-3.0950078123941553,10.002806668430054
fixed_average,CO2,3.087645684226137,3.017719215750761,293.7676485394577,,389.36014465270034
fixed_average,N2,6.699689768127967,6.544448177608759,37.94481409733326,-5.508910429324432,43.64930214173902
dynamic_average,H2,3.0942237849108394,2.2892647806006505,130.00051416458405,,381.1081815806985
dynamic_average,CH4,4.496906378438954,3.2614840987547637,3.964164655181124,-1.9324175679275917,11.161982910190387
dynamic_average,CO2,1.8836630950078692,1.8823389129696415,183.24112903918407,,192.978714815422
dynamic_average,N2,5.300316089058426,4.878562800525685,27.32375307663022,-3.073825750473725,38.718547133734546
dynamic_pls,H2,12.972485517799212,12.806378648498503,727.236020489662,,951.1110440870741
dynamic_pls,CH4,42.81912677983137,42.089982406991524,52.88612044877679,-264.87269229044733,66.91609433201256
dynamic_pls,CO2,58.12527037121661,56.753482522728575,5524.813912476404,,7913.865563929837
dynamic_pls,N2,109.12148161665971,80.19044243727157,515.3192178279611,-1725.7100522597216,1577.2270786066206
